episode: 46000, epsilon: 0.17650000000082477, average steps: 40.105, maximum length: 7, average length: 1.766, average reward: -0.539, average loss: 2.151423617037079
episode: 46500, epsilon: 0.17200000000082027, average steps: 38.02, maximum length: 6, average length: 1.782, average reward: -4.114, average loss: 2.095832792167473
episode: 47000, epsilon: 0.16750000000081577, average steps: 51.478, maximum length: 7, average length: 1.906, average reward: -8.912, average loss: 1.9509102368513194
episode: 47500, epsilon: 0.16300000000081127, average steps: 55.772, maximum length: 7, average length: 2.244, average reward: -5.344, average loss: 1.3292046552106502
episode: 48000, epsilon: 0.15850000000080677, average steps: 43.97, maximum length: 9, average length: 2.238, average reward: -3.828, average loss: 0.8342562391767725
episode: 48500, epsilon: 0.15400000000080227, average steps: 43.47, maximum length: 10, average length: 2.44, average reward: -2.538, average loss: 0.5617560578244073
episode: 49000, epsilon: 0.14950000000079777, average steps: 42.608, maximum length: 10, average length: 2.616, average reward: -1.776, average loss: 0.4308346058415138
episode: 49500, epsilon: 0.14500000000079327, average steps: 35.458, maximum length: 9, average length: 2.81, average reward: 0.72, average loss: 0.44499723337999597
episode: 50000, epsilon: 0.14050000000078877, average steps: 34.866, maximum length: 16, average length: 3.052, average reward: 0.922, average loss: 0.533241050040832
episode: 50500, epsilon: 0.13600000000078427, average steps: 37.316, maximum length: 14, average length: 3.282, average reward: 2.258, average loss: 0.6296332753449598
episode: 51000, epsilon: 0.13150000000077977, average steps: 36.648, maximum length: 12, average length: 3.298, average reward: 2.138, average loss: 0.7142873117999072
episode: 51500, epsilon: 0.12700000000077527, average steps: 47.364, maximum length: 11, average length: 3.952, average reward: 3.28, average loss: 0.7360009647683712
episode: 52000, epsilon: 0.12250000000077463, average steps: 40.876, maximum length: 20, average length: 3.858, average reward: 4.118, average loss: 0.7595108153069016
episode: 52500, epsilon: 0.11800000000077707, average steps: 43.11, maximum length: 14, average length: 3.904, average reward: 4.362, average loss: 0.782668024189537
episode: 53000, epsilon: 0.1135000000007795, average steps: 43.314, maximum length: 15, average length: 4.042, average reward: 4.276, average loss: 0.8035641323745639
episode: 53500, epsilon: 0.10900000000078194, average steps: 42.72, maximum length: 15, average length: 3.91, average reward: 3.954, average loss: 0.8073247849327349
episode: 54000, epsilon: 0.10450000000078438, average steps: 45.624, maximum length: 18, average length: 4.11, average reward: 4.278, average loss: 0.8364372030096515
episode: 54500, epsilon: 0.10000000000078682, average steps: 52.654, maximum length: 15, average length: 4.204, average reward: 4.162, average loss: 0.7982638092649944
episode: 55000, epsilon: 0.1, average steps: 45.63, maximum length: 17, average length: 4.112, average reward: 4.466, average loss: 0.7675652392700056
episode: 55500, epsilon: 0.1, average steps: 44.976, maximum length: 16, average length: 4.112, average reward: 4.408, average loss: 0.7482937334581802
episode: 56000, epsilon: 0.1, average steps: 47.988, maximum length: 14, average length: 4.28, average reward: 5.628, average loss: 0.725332312234354
episode: 56500, epsilon: 0.1, average steps: 42.302, maximum length: 17, average length: 4.27, average reward: 6.24, average loss: 0.7615486207112517
episode: 57000, epsilon: 0.1, average steps: 41.244, maximum length: 16, average length: 4.244, average reward: 5.668, average loss: 0.828921644415787
episode: 57500, epsilon: 0.1, average steps: 42.339, maximum length: 18, average length: 4.272, average reward: 5.453, average loss: 0.8421837611042048
episode: 58000, epsilon: 0.1, average steps: 43.234, maximum length: 13, average length: 4.264, average reward: 5.734, average loss: 0.8682644817527152
episode: 58500, epsilon: 0.1, average steps: 41.572, maximum length: 15, average length: 4.118, average reward: 5.258, average loss: 0.8998274289341825
episode: 59000, epsilon: 0.1, average steps: 42.138, maximum length: 18, average length: 4.228, average reward: 5.69, average loss: 0.9238389399967251
episode: 59500, epsilon: 0.1, average steps: 43.898, maximum length: 12, average length: 4.066, average reward: 4.676, average loss: 0.9518621597802092
episode: 60000, epsilon: 0.1, average steps: 42.868, maximum length: 15, average length: 4.172, average reward: 5.016, average loss: 0.9573866863217696
episode: 60500, epsilon: 0.1, average steps: 41.958, maximum length: 16, average length: 4.266, average reward: 5.736, average loss: 0.9509122918397537
episode: 61000, epsilon: 0.1, average steps: 43.438, maximum length: 16, average length: 4.338, average reward: 5.736, average loss: 0.9674956649370333
episode: 61500, epsilon: 0.1, average steps: 48.372, maximum length: 16, average length: 4.54, average reward: 5.536, average loss: 0.9435309462158711
episode: 62000, epsilon: 0.1, average steps: 44.224, maximum length: 17, average length: 4.27, average reward: 5.406, average loss: 0.9403753784160344
episode: 62500, epsilon: 0.1, average steps: 47.962, maximum length: 19, average length: 4.584, average reward: 6.41, average loss: 0.9628212449996129
episode: 63000, epsilon: 0.1, average steps: 46.216, maximum length: 16, average length: 4.696, average reward: 6.992, average loss: 0.9566483032167917
episode: 63500, epsilon: 0.1, average steps: 44.526, maximum length: 20, average length: 4.498, average reward: 5.88, average loss: 0.9839454116884152
episode: 64000, epsilon: 0.1, average steps: 45.854, maximum length: 13, average length: 4.29, average reward: 5.788, average loss: 0.9997492682937967
episode: 64500, epsilon: 0.1, average steps: 43.008, maximum length: 20, average length: 4.452, average reward: 5.928, average loss: 1.0148924844009646
episode: 65000, epsilon: 0.1, average steps: 41.722, maximum length: 14, average length: 4.102, average reward: 5.3, average loss: 1.0388736885558336
episode: 65500, epsilon: 0.1, average steps: 43.688, maximum length: 17, average length: 4.438, average reward: 5.382, average loss: 1.0378573687835462
episode: 66000, epsilon: 0.1, average steps: 44.124, maximum length: 17, average length: 4.254, average reward: 4.938, average loss: 1.0617676080840204
episode: 66500, epsilon: 0.1, average steps: 46.942, maximum length: 15, average length: 4.404, average reward: 5.854, average loss: 1.0470737744393994
episode: 67000, epsilon: 0.1, average steps: 48.572, maximum length: 15, average length: 4.648, average reward: 5.992, average loss: 0.9970234168964468
episode: 67500, epsilon: 0.1, average steps: 44.024, maximum length: 24, average length: 4.52, average reward: 6.536, average loss: 0.9907750796452882
episode: 68000, epsilon: 0.1, average steps: 45.446, maximum length: 19, average length: 4.56, average reward: 6.378, average loss: 0.9698988510175988
episode: 68500, epsilon: 0.1, average steps: 43.878, maximum length: 14, average length: 4.276, average reward: 5.17, average loss: 1.0151436432942722
episode: 69000, epsilon: 0.1, average steps: 46.768, maximum length: 16, average length: 4.56, average reward: 6.272, average loss: 1.0366272450110254
episode: 69500, epsilon: 0.1, average steps: 42.144, maximum length: 14, average length: 4.31, average reward: 5.054, average loss: 1.045097049167302
episode: 70000, epsilon: 0.1, average steps: 47.992, maximum length: 14, average length: 4.412, average reward: 5.56, average loss: 1.0247725023577403
episode: 70500, epsilon: 0.1, average steps: 44.796, maximum length: 15, average length: 4.642, average reward: 6.326, average loss: 1.0277666020807448
episode: 71000, epsilon: 0.1, average steps: 43.042, maximum length: 20, average length: 4.526, average reward: 5.808, average loss: 1.0326921247462735
episode: 71500, epsilon: 0.1, average steps: 44.554, maximum length: 20, average length: 4.69, average reward: 7.28, average loss: 1.0699059033223155
episode: 72000, epsilon: 0.1, average steps: 45.952, maximum length: 15, average length: 4.494, average reward: 5.854, average loss: 1.0917089089626721
episode: 72500, epsilon: 0.1, average steps: 44.206, maximum length: 15, average length: 4.656, average reward: 6.354, average loss: 1.1405042206756195
episode: 73000, epsilon: 0.1, average steps: 48.978, maximum length: 17, average length: 4.682, average reward: 6.06, average loss: 1.1603886899732863
episode: 73500, epsilon: 0.1, average steps: 49.302, maximum length: 17, average length: 4.46, average reward: 5.19, average loss: 1.154019834915381
episode: 74000, epsilon: 0.1, average steps: 45.182, maximum length: 17, average length: 4.484, average reward: 5.33, average loss: 1.1990640762185656
episode: 74500, epsilon: 0.1, average steps: 49.992, maximum length: 16, average length: 4.91, average reward: 6.194, average loss: 1.1345351022049834
episode: 75000, epsilon: 0.1, average steps: 41.398, maximum length: 16, average length: 4.534, average reward: 6.592, average loss: 1.1107151994809326
episode: 75500, epsilon: 0.1, average steps: 46.664, maximum length: 16, average length: 4.57, average reward: 6.022, average loss: 1.1181906991878219
episode: 76000, epsilon: 0.1, average steps: 45.174, maximum length: 17, average length: 4.774, average reward: 6.704, average loss: 1.1383690106661326
episode: 76500, epsilon: 0.1, average steps: 43.524, maximum length: 19, average length: 4.71, average reward: 6.33, average loss: 1.1998105683305686
episode: 77000, epsilon: 0.1, average steps: 44.392, maximum length: 13, average length: 4.49, average reward: 5.374, average loss: 1.2375320240769285
episode: 77500, epsilon: 0.1, average steps: 50.254, maximum length: 15, average length: 4.756, average reward: 5.802, average loss: 1.240489660411434
episode: 78000, epsilon: 0.1, average steps: 47.746, maximum length: 15, average length: 4.564, average reward: 6.23, average loss: 1.2074170843517655
episode: 78500, epsilon: 0.1, average steps: 44.752, maximum length: 15, average length: 4.552, average reward: 6.336, average loss: 1.208185134344349
episode: 79000, epsilon: 0.1, average steps: 42.8, maximum length: 15, average length: 4.538, average reward: 5.614, average loss: 1.2080110546459104
episode: 79500, epsilon: 0.1, average steps: 41.98, maximum length: 15, average length: 4.534, average reward: 5.774, average loss: 1.2157123980393234
episode: 80000, epsilon: 0.1, average steps: 44.014, maximum length: 19, average length: 4.388, average reward: 6.014, average loss: 1.2594408007292006
episode: 80500, epsilon: 0.1, average steps: 43.484, maximum length: 14, average length: 4.5, average reward: 6.196, average loss: 1.3001590013249074
episode: 81000, epsilon: 0.1, average steps: 43.436, maximum length: 15, average length: 4.61, average reward: 6.578, average loss: 1.2810599699771494
episode: 81500, epsilon: 0.1, average steps: 44.91, maximum length: 19, average length: 4.534, average reward: 5.512, average loss: 1.2942245666247065
